84	31
71	78
13	22
57	96
29	38
94	44
77	74
99	1
87	90
70	41
79	36
58	25
55	29
11	34
30	98
88	53
100	67
31	62
84	48
18	22
40	20
99	94
100	60
81	30
98	84
94	58
24	19
99	3
31	81
16	2
37	82
48	46
81	75
33	62
89	5
12	68
43	69
61	97
98	15
38	62
33	38
27	11
64	60
84	86
35	20
13	17
59	5
63	66
93	55
16	79
67	36
10	26
70	74
54	37
11	88
64	10
74	86
3	15
24	71
79	41
46	4
46	59
78	83
72	53
72	53
82	46
10	68
73	50
63	93
98	88
16	13
34	37
48	63
40	8
29	8
1	37
66	53
16	70
79	76
8	15
44	4
16	28
95	29
52	81
93	27
23	67
83	82
62	62
15	57
95	29
59	14
10	3
30	82
41	29
1	52
83	2
44	58
84	11
30	3
81	86
64	1
27	76
93	100
38	76
74	90
33	24
12	69
77	38
67	10
43	81
61	39
25	45
80	96
21	37
20	22
40	54
26	11
78	56
12	100
35	43
78	78
95	80
33	20
62	29
2	90
18	53
97	48
53	30
43	82
22	72
14	88
49	57
1	11
42	87
80	51
57	17
17	17
48	26
51	58
40	49
33	8
78	17
38	81
63	54
22	83
11	1
64	49
53	24
19	85
50	28
39	37
27	30
93	69
99	63
54	41
11	44
97	17
30	61
44	19
10	34
96	71
60	87
57	38
4	80
64	54
99	79
86	5
57	17
46	88
9	37
69	23
5	25
96	4
57	29
81	14
54	65
71	48
58	85
85	2
32	25
6	46
100	72
48	53
85	60
10	48
13	95
97	23
31	81
51	81
58	32
51	96
51	21
30	7
42	32
28	48
9	8
16	16
44	15
99	72
4	60
27	100
30	58
4	69
92	31
97	30
34	94
60	38
25	28
76	52
8	93
25	97
77	19
53	13
80	78
34	65
88	4
37	7
87	2
88	98
73	22
56	67
68	26
26	94
95	72
94	21
62	38
21	71
93	90
97	40
40	39
65	77
85	2
85	79
80	53
19	5
13	26
10	5
14	80
95	46
49	37
40	12
35	64
76	45
32	29
6	18
80	98
27	98
100	71
78	23
15	1
92	56
92	19
96	59
40	57
90	61
88	77
28	56
12	38
16	13
48	44
91	60
63	30
70	14
47	93
37	62
9	34
60	42
8	36
5	17
78	96
1	63
9	87
74	94
27	85
31	14
41	68
95	40
1	86
14	38
14	62
87	79
57	88
58	71
39	52
9	73
87	98
75	31
91	17
31	43
12	69
88	9
53	16
55	63
8	72
91	52
28	85
59	21
2	66
63	69
86	23
26	11
26	8
41	42
93	9
9	2
81	46
93	49
25	9
43	24
75	60
54	55
4	4
65	6
40	28
34	24
54	10
83	59
70	43
74	91
69	73
39	42
16	43
59	65
96	94
17	57
47	71
98	37
64	34
46	4
44	88
81	25
89	38
62	12
92	83
33	66
69	44
54	1
92	42
38	94
77	51
