30
30
0	28
1	28
2	0
2	8
2	11
2	12
2	13
2	14
2	28
3	0
3	1
3	2
3	3
3	4
3	5
3	6
3	7
3	8
3	9
3	14
3	28
4	2
4	8
4	14
4	22
4	28
5	2
5	8
5	14
5	22
5	28
6	2
6	8
6	14
6	15
6	16
6	17
6	18
6	19
6	20
6	21
6	22
6	23
6	28
7	2
7	8
7	22
7	28
8	2
8	8
8	9
8	10
8	11
8	12
8	13
8	14
8	22
8	28
9	2
9	8
9	22
9	28
10	2
10	8
10	22
10	28
11	2
11	4
11	5
11	6
11	7
11	8
11	9
11	10
11	11
11	12
11	13
11	14
11	15
11	16
11	17
11	18
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	28
12	2
12	8
12	13
12	22
12	28
13	2
13	8
13	13
13	22
13	28
14	2
14	13
14	22
14	28
15	2
15	13
15	22
15	28
16	1
16	2
16	3
16	4
16	5
16	6
16	7
16	8
16	9
16	13
16	22
16	28
17	2
17	13
17	14
17	15
17	16
17	17
17	18
17	19
17	22
17	28
18	13
18	18
18	22
18	28
19	13
19	18
19	22
19	28
20	4
20	5
20	6
20	7
20	8
20	9
20	10
20	11
20	12
20	13
20	18
20	22
20	28
21	13
21	18
21	28
22	18
22	19
22	20
22	21
22	22
22	23
22	28
23	18
23	28
24	18
24	28
25	18
25	19
25	20
25	21
25	22
25	23
25	24
25	25
25	26
25	27
25	28
26	18
27	11
27	12
27	13
27	14
27	15
27	16
27	17
27	18
28	14
